Company,Date,ESG Score,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
LKQ.OQ,12/31/2011,18.02282687,18.02282687,100,3.164556962,15.06024096,0,28.78787879,0,65.10416667,24.13793103,24.84693878,40.35714286,0
LKQ.OQ,12/31/2010,19.97649794,19.97649794,100,6,12.66666667,0,20.52631579,0,34.57446809,0,76.53884965,19.22300706,0
LLY.N,12/31/2019,66.43676062,54.64695174,42.85714286,90.64516129,71.65605096,58.92857143,90.81196581,66.66666667,92.09401709,96.36363636,26.26315789,21.87719298,62.65495868
LLY.N,12/31/2018,69.59847851,69.59847851,84.44444444,88.93129771,78.17460317,58,93.68686869,70.90163934,94.6969697,96.23655914,28.20062451,29.95706479,78.40346535
LLY.N,12/31/2017,67.6580767,56.50345695,45.34883721,88.31775701,87.26415094,14.28571429,86.96969697,71.13402062,93.63636364,96.62162162,25.43155359,22.01926937,91.30127298
LLY.N,12/31/2016,70.31309068,70.31309068,79.54545455,82.77777778,86.7816092,21.05263158,86.9047619,68.38235294,93.25396825,96.55172414,43.97331037,17.02539819,91.15384615
LLY.N,12/31/2015,64.90100078,64.90100078,100,73.45679012,87.82051282,23.52941176,83.48214286,44.16666667,95.08928571,87.5,43.68781095,16.94651741,91.91666667
LLY.N,12/31/2014,64.09199789,41.60482248,19.11764706,74.65753425,85.60606061,21.05263158,89.67391304,43.26923077,93.88888889,83.53658537,39.0560166,19.03526971,93.78478664
LLY.N,12/31/2013,67.65859656,48.69416314,29.72972973,75.35211268,77.34375,23.91304348,76.43678161,47.95918367,87.5,82.91139241,64.33747412,27.38095238,94.98175182
LLY.N,12/31/2012,73.78379502,73.78379502,84.61538462,81.61764706,72.95081967,24,81.09756098,50,92.07317073,82,86.93181818,25.6714876,97.16117216
LLY.N,12/31/2011,67.52572313,67.52572313,81.25,76.15384615,83.89830508,0,74.69135802,40.27777778,88.27160494,85.33333333,66.37755102,36.17346939,93.88145315
LLY.N,12/31/2010,71.6406783,59.89441322,48.14814815,78.81355932,86.11111111,0,74.67532468,48.61111111,91.55844156,84.7826087,68.76892028,62.6135217,94.2
LMT.N,12/31/2019,77.86756414,77.86756414,86.11111111,94.06779661,86.84210526,79.76190476,82.87671233,45.28301887,95.20547945,79.54545455,85.87719298,43.21052632,94.88636364
LMT.N,12/31/2018,79.08064487,76.3824277,73.68421053,93,85,80,91.79104478,51.06382979,94.7761194,84.92063492,77.30288837,59.50429352,98.01980198
LMT.N,12/31/2017,83.88034158,83.88034158,100,92.55319149,85.55555556,83.33333333,91.79104478,67.39130435,91.79104478,87.3015873,87.33440385,62.12364512,97.66619519
LMT.N,12/31/2016,82.88759439,82.88759439,100,96.51162791,93.42105263,81.42857143,79.16666667,75.58139535,90.83333333,83.89830508,83.44812742,59.72879897,92.84615385
LMT.N,12/31/2015,75.12459944,75.06229972,75,96.51162791,84.72222222,80,80.18867925,28.94736842,91.50943396,81.73076923,81.87189055,54.3221393,97.58333333
LMT.N,12/31/2014,75.42791721,70.4062663,65.38461538,93.05555556,77.27272727,78.33333333,68.75,42.59259259,93.75,79.48717949,85.9439834,51.71161826,94.99072356
LMT.N,12/31/2013,47.45928054,47.45928054,76.47058824,86.36363636,72.85714286,12.5,51.25,39.13043478,87.17948718,80.26315789,15.47619048,59.98964803,93.70437956
LMT.N,12/31/2012,49.19213339,39.5960667,30,95.3125,66.17647059,0,55.12820513,50,73.07692308,82.89473684,31.25,60.79545455,93.86446886
