Company,Name,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Activity Name
LHX.N,L3HARRIS TCH INC,L3harris Technologies Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense (NEC)
LIN.N,LINDE PLC,Linde PLC,Basic Materials,Chemicals,Chemicals,Industrial Gases
LKQ.OQ,LKQ CORP,LKQ Corp,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Parts Wholesale
LLY.N,ELI LILLY,Eli Lilly and Co,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
LMT.N,LOCKHEED MARTIN,Lockheed Martin Corp,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense (NEC)
LNC.N,LINCOLN NATL,Lincoln National Corp,Financials,Insurance,Insurance,Life & Health Insurance (NEC)
LNT.OQ,ALLIANT ENERGY,Alliant Energy Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
LOW.N,LOWES COMPANIES,Lowe's Companies Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Home Improvement Products & Services Retailers (NEC)
LRCX.OQ,LAM RESEARCH,Lam Research Corp,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing (NEC)
LUV.N,SW AIRLINES,Southwest Airlines Co,Industrials,Transportation,Passenger Transportation Services,Regional Airlines
LVS.N,LAS VEGAS SANDS,Las Vegas Sands Corp,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos
LW.N,LAMB WESTON HLDS,Lamb Weston Holdings Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
LYB.N,LYONDELLBASEL A,LyondellBasell Industries NV,Basic Materials,Chemicals,Chemicals,Commodity Chemicals (NEC)
LYV.N,LIVE NATION ENTN,Live Nation Entertainment Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production Equipment & Services
MA.N,MASTERCARD I ORD,Mastercard Inc,Technology,Software & IT Services,Software & IT Services,Internet Security & Transactions Services
MAA.N,MID AM APT COMM,Mid-America Apartment Communities Inc,Financials,Real Estate,Residential & Commercial REITs,Residential REITs
MAR.OQ,MARRIOTT INTERNL,Marriott International Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines (NEC)"
MAS.N,MASCO CORP,Masco Corp,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures (NEC)
MCD.N,MCDONALD'S CORP,Mcdonald's Corp,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Quick Service Restaurants
MCHP.OQ,MICROCHIP TECH,Microchip Technology Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
MCK.N,MCKESSON CRP,Mckesson Corp,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Drug Retailers (NEC)
MCO.N,MOODY'S,Moody's Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Rating Agencies
MDLZ.OQ,MONDELEZ INT CLA,Mondelez International Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
MDT.N,MEDTRONIC PLC,Medtronic PLC,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
MET.N,METLIFE INC,MetLife Inc,Financials,Insurance,Insurance,Life & Health Insurance (NEC)
MGM.N,MGM RESORTS INT,MGM Resorts International,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos
MHK.N,MOHAWK INDS,Mohawk Industries Inc,Consumer Cyclicals,Cyclical Consumer Products,Household Goods,Carpets & Curtains
MKC.N,MCCORMICK & CO,McCormick & Company Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
MKTX.OQ,MARKETAXESS,Marketaxess Holdings Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Financial & Commodity Market Operators & Service Providers (NEC)
MLM.N,M MARIETTA,Martin Marietta Materials Inc,Basic Materials,Mineral Resources,Construction Materials,Construction Materials (NEC)
MMC.N,MARSH & MCLENNAN,Marsh & McLennan Companies Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers (NEC)
MMM.N,3M COMPANY,3M Co,Industrials,Industrial Conglomerates,Industrial Conglomerates,Industrial Conglomerates
MNST.OQ,MONSTER BEV CORP,Monster Beverage Corp,Consumer Non-Cyclicals,Food & Beverages,Beverages,Energy Drinks
MO.N,ALTRIA GROUP,Altria Group Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Cigars & Cigarette Manufacturing
MOS.N,MOSAIC COMPANY,Mosaic Co,Basic Materials,Chemicals,Chemicals,Fertilizers
MPC.N,MARTHN PETRO,Marathon Petroleum Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing (NEC)
MRK.N,MERCK & CO,Merck & Co Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
MRO.N,MARATHON OIL,Marathon Oil Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
MS.N,MORGAN STANLEY,Morgan Stanley,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Banking & Brokerage Services (NEC)
MSCI.N,MSCI,MSCI Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Compliance & Investor Communication
MSFT.OQ,MICROSOFT CP,Microsoft Corp,Technology,Software & IT Services,Software & IT Services,Software (NEC)
MSI.N,MOTOROLA SOL,Motorola Solutions Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking (NEC)
MTB.N,M&T BANK CRP,M&T Bank Corp,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
MTD.N,METTLER-TOLEDO,Mettler-Toledo International Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Testing & Measuring Equipment
MU.OQ,MICRON TECH,Micron Technology Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
MXIM.OQ,MAXIM INTEGRATED,Maxim Integrated Products Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
MYL.OQ,MYLAN NV,Mylan NV,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
NBL.OQ,NOBLE ENERGY INC,Noble Energy Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
NCLH.N,NORWGN CRUS LINE,Norwegian Cruise Line Holdings Ltd,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Cruise Lines
NDAQ.OQ,NASDAQ INC,Nasdaq Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Financial & Commodity Market Operators & Service Providers (NEC)
NEE.N,NEXTERA ENERGY,Nextera Energy Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
NEM.N,NEWMONT CORP ORD,Newmont Corporation,Basic Materials,Mineral Resources,Metals & Mining,Gold Mining
NFLX.OQ,NETFLIX INC,Netflix Inc,Technology,Software & IT Services,Software & IT Services,Online Services (NEC)
NI.N,NISOURCE INC,NiSource Inc,Utilities,Utilities,Multiline Utilities,Multiline Utilities
NKE.N,NIKE INC CL B,Nike Inc,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Sports & Outdoor Footwear
NLOK.OQ,NORTONLIFELOCK,NortonLifeLock Inc,Technology,Software & IT Services,Software & IT Services,Application Software
NLSN.N,NIELSEN HOLDINGS,Nielsen Holdings PLC,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Market Research
NOC.N,NORTHROP GRUMMAN,Northrop Grumman Corp,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense (NEC)
NOV.N,NTL OILWELL VARC,National Oilwell Varco Inc,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment (NEC)
NOW.N,SERVICENOW INC,ServiceNow Inc,Technology,Software & IT Services,Software & IT Services,Enterprise Software
NRG.N,NRG ENERGY,NRG Energy Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
NSC.N,NORFOLK SOUTHERN,Norfolk Southern Corp,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics (NEC)
NTAP.OQ,NETAPP INC,NetApp Inc,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Storage Devices
NTRS.OQ,NORTHERN TRUST,Northern Trust Corp,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators (NEC)
NUE.N,NUCOR,Nucor Corp,Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel (NEC)
NVDA.OQ,NVIDIA CORP,NVIDIA Corp,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
NVR.N,NVR INC,NVR Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Residential Builders - Single Homes
NWL.OQ,NEWELL BRAND INC,Newell Brands Inc,Consumer Cyclicals,Cyclical Consumer Products,Household Goods,"Appliances, Tools & Housewares (NEC)"
NWS.OQ,NEWS CORP CL B,News Corp,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Newspaper Publishing
NWSA.OQ,NEWS CORP CL A,News Corp,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Newspaper Publishing
O.N,REALTY INCM CORP,Realty Income Corp,Financials,Real Estate,Residential & Commercial REITs,Commercial REITs (NEC)
ODFL.OQ,OLD DOMINION,Old Dominion Freight Line Inc,Industrials,Transportation,Freight & Logistics Services,Freight Trucking
OKE.N,ONEOK INC,ONEOK Inc,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services (NEC)
OMC.N,OMNICOM GP INC,Omnicom Group Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Advertising & Marketing (NEC)
ORCL.N,ORACLE CORP,Oracle Corp,Technology,Software & IT Services,Software & IT Services,Enterprise Software
ORLY.OQ,O REILLY AUTO,O'Reilly Automotive Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Automotive Parts & Accessories Retailers
OTIS.N,OTIS WORLDWD ORD,Otis Worldwide Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Elevator & Conveying Equipment
OXY.N,OCCIDENTAL PETE,Occidental Petroleum Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
PAYC.N,PAYCOM SOFTWARE,Paycom Software Inc,Technology,Software & IT Services,Software & IT Services,Enterprise Software
PAYX.OQ,PAYCHEX INC,Paychex Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Outsourcing & Staffing Services
PBCT.OQ,PEOPLE UNTD FIN,People's United Financial Inc,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
PCAR.OQ,PACCAR INC,Paccar Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles (NEC)
PEAK.N,HEALTHPK PROPRTS,Healthpeak Properties Inc,Financials,Real Estate,Residential & Commercial REITs,Healthcare REITs
PEG.N,PUBL SVC ENTER,Public Service Enterprise Group Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
PEP.OQ,PEPSICO INC,PepsiCo Inc,Consumer Non-Cyclicals,Food & Beverages,Beverages,Carbonated Soft Drinks
PFE.N,PFIZER INC,Pfizer Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
PFG.OQ,PRINCIPAL FNANCL,Principal Financial Group Inc,Financials,Insurance,Insurance,Life & Health Insurance (NEC)
PG.N,PROCTER & GAMBLE,Procter & Gamble Co,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Personal Products (NEC)
PGR.N,THE PROGRESSIVE,Progressive Corp,Financials,Insurance,Insurance,Insurance - Automobile
PH.N,PARKER-HANNIFIN,Parker-Hannifin Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC)
PHM.N,PULTEGROUP INC,Pultegroup Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Homebuilding (NEC)
PKG.N,PACKAGING AMER,Packaging Corp of America,Basic Materials,Applied Resources,Containers & Packaging,Paper Packaging (NEC)
PKI.N,PERKINELMER,PerkinElmer Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
PLD.N,PROLOGIS,Prologis Inc,Financials,Real Estate,Residential & Commercial REITs,Industrial REITs
PM.N,PHILIP MORRIS,Philip Morris International Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Tobacco (NEC)
PNC.N,PNC FINL SVC,PNC Financial Services Group Inc,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
PNR.N,PENTAIR PLC,Pentair PLC,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC)
PNW.N,PINNACL WEST CAP,Pinnacle West Capital Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
PPG.N,PPG IND,PPG Industries Inc,Basic Materials,Chemicals,Chemicals,Paints & Coatings
PPL.N,PPL CORP,PPL Corp,Utilities,Utilities,Multiline Utilities,Multiline Utilities
PRGO.N,PERRIGO CMPN PLC,Perrigo Company PLC,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
PRU.N,PRUDENTIAL FINL,Prudential Financial Inc,Financials,Insurance,Insurance,Life & Health Insurance (NEC)
PSA.N,PUBLIC STORG ORD,Public Storage,Financials,Real Estate,Residential & Commercial REITs,Self-Storage REITs
PSX.N,PHILLIPS 66,Phillips 66,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing (NEC)
PVH.N,PVH CORP,PVH Corp,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Apparel & Accessories (NEC)
PWR.N,QUANTA SERVICES,Quanta Services Inc,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering (NEC)
PXD.N,PIONEER NAT,Pioneer Natural Resources Co,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
PYPL.OQ,PAYPAL HOLDI,PayPal Holdings Inc,Technology,Software & IT Services,Software & IT Services,Internet Security & Transactions Services
QCOM.OQ,QUALCOMM INC,Qualcomm Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
QRVO.OQ,QORVO INC ORD,Qorvo Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing (NEC)
RCL.N,RYL CRBN GRP ORD,Royal Caribbean Cruises Ltd,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Cruise Lines
RE.N,EVEREST RE GP,Everest Re Group Ltd,Financials,Insurance,Insurance,Property & Casualty Reinsurance
REG.OQ,REGENCY CENTER,Regency Centers Corp,Financials,Real Estate,Residential & Commercial REITs,Retail REITs
