Company,Name,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Activity Name
UAA.N,UNDER ARMOUR A,Under Armour Inc,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Apparel & Accessories (NEC)
UAL.OQ,UNITED AIRLNS HD,United Airlines Holdings Inc,Industrials,Transportation,Passenger Transportation Services,Airlines (NEC)
UDR.N,UDR INC,UDR Inc,Financials,Real Estate,Residential & Commercial REITs,Residential REITs
UHS.N,UNIV HEALTH SVC,Universal Health Services Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services (NEC)
ULTA.OQ,ULTA BEAUTY INC,Ulta Beauty Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Personal Care Products Retailers
UNH.N,UNITEDHEALTH GP,UnitedHealth Group Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Managed Healthcare (NEC)
UNM.N,UNUM GROUP,Unum Group,Financials,Insurance,Insurance,Life & Health Insurance (NEC)
UNP.N,UNION PACIFIC CP,Union Pacific Corp,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics (NEC)
UPS.N,UNITED PARCEL B,United Parcel Service Inc,Industrials,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics (NEC)"
URI.N,UNITED RENTAL,United Rentals Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services (NEC)
USB.N,US BANCORP,U.S. Bancorp,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
V.N,VISA INC,Visa Inc,Technology,Software & IT Services,Software & IT Services,Internet Security & Transactions Services
VAR.N,VARIAN MEDICAL,Varian Medical Systems Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
VFC.N,VF CORP,VF Corp,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Apparel & Accessories (NEC)
VIAC.OQ,VIACOMCBS B ORD,ViacomCBS Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Broadcasting (NEC)
VLO.N,VALERO ENERGY,Valero Energy Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing (NEC)
VMC.N,VULCAN MATRLS,Vulcan Materials Co,Basic Materials,Mineral Resources,Construction Materials,Construction Materials (NEC)
VNO.N,VORNADO REALTY,Vornado Realty Trust,Financials,Real Estate,Residential & Commercial REITs,Commercial REITs (NEC)
VRSK.OQ,VERISK ANLYTCS,Verisk Analytics Inc,Technology,Software & IT Services,Software & IT Services,Technology Consulting & Outsourcing Services
VRSN.OQ,VERISIGN INC,Verisign Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
VRTX.OQ,VERTEX PHARM,Vertex Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Bio Therapeutic Drugs
VTR.N,VENTAS INC,Ventas Inc,Financials,Real Estate,Residential & Commercial REITs,Healthcare REITs
VZ.N,VERIZON COMMS,Verizon Communications Inc,Telecommunications Services,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services (NEC)
WAB.N,WABTEC,Westinghouse Air Brake Technologies Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Locomotive Engines & Rolling Stock
WAT.N,WATERS CORP,Waters Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
WBA.OQ,WALGREEN BOOTS,Walgreens Boots Alliance Inc,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Drug Retailers (NEC)
WDC.OQ,WESTERN DGTL CRP,Western Digital Corp,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Storage Devices
WEC.N,WEC ENERGY GROUP,WEC Energy Group Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
WELL.N,WELLTOWER INC,Welltower Inc,Financials,Real Estate,Residential & Commercial REITs,Healthcare REITs
WFC.N,WELLS FARGO & CO,Wells Fargo & Co,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
